account_id,account_name,industry,country,referral_source,plan_tier,seats,is_trial,tenure_days,current_mrr,current_arr,active_seats,total_usage_count,ticket_count,avg_satisfaction,escalation_rate,has_upgraded,has_downgraded,churn_target
A-7f8241,Company_42,EdTech,US,organic,Pro,34,False,566,32104.0,385248.0,470.0,616,1.0,3.0,0.0,True,False,0
A-2bc93d,Company_43,HealthTech,US,event,Basic,14,False,566,30413.0,364956.0,331.0,577,1.0,4.0,0.0,True,False,0
A-f3ff05,Company_44,FinTech,IN,other,Enterprise,2,False,86,8973.0,107676.0,117.0,616,3.0,3.5,0.0,True,False,1
A-2d4502,Company_45,FinTech,IN,event,Basic,7,False,154,15481.0,185772.0,206.0,446,3.0,5.0,0.0,True,False,0
A-6a4e2d,Company_46,EdTech,UK,partner,Pro,9,False,542,9708.0,116496.0,192.0,517,2.0,4.5,0.5,True,True,0
A-eb7c38,Company_47,DevTools,AU,organic,Enterprise,5,False,218,29666.0,355992.0,336.0,608,5.0,4.333333333333333,0.0,True,True,0
A-3b5cd1,Company_49,FinTech,US,event,Basic,13,True,384,10542.0,126504.0,206.0,425,4.0,4.0,0.0,True,True,0
A-b2225d,Company_50,FinTech,US,ads,Basic,47,False,206,15745.0,188940.0,376.0,615,2.0,3.0,0.0,True,True,0
A-94f8c9,Company_51,HealthTech,US,other,Basic,13,False,185,12391.0,148692.0,182.0,655,3.0,5.0,0.0,True,False,0
A-02fac6,Company_52,FinTech,US,event,Pro,22,False,543,20954.0,251448.0,236.0,401,6.0,4.0,0.0,False,False,0
A-c1dfe1,Company_53,DevTools,DE,ads,Pro,26,False,420,25296.0,303552.0,204.0,343,3.0,4.0,0.0,True,True,0
A-32728c,Company_54,DevTools,US,event,Pro,20,False,636,4118.0,49416.0,162.0,390,2.0,3.5,0.0,True,False,0
A-4c38bc,Company_55,HealthTech,UK,event,Basic,36,False,205,29520.0,354240.0,396.0,712,3.0,3.5,0.0,True,False,0
A-1b707d,Company_56,Cybersecurity,US,organic,Enterprise,1,False,444,7945.0,95340.0,55.0,320,2.0,,0.0,False,False,0
A-6f8ad2,Company_57,EdTech,IN,organic,Basic,1,False,83,20619.0,247428.0,200.0,819,2.0,4.0,0.0,True,False,0
A-4d1e75,Company_58,DevTools,US,other,Basic,20,False,40,13698.0,164376.0,102.0,430,2.0,4.0,0.0,True,False,0
A-9ee962,Company_59,HealthTech,US,ads,Basic,9,False,580,9249.0,110988.0,120.0,416,3.0,4.0,0.0,True,True,1
A-378b99,Company_60,EdTech,UK,ads,Pro,8,True,29,2223.0,26676.0,87.0,480,6.0,4.5,0.0,False,False,1
A-94d3da,Company_61,HealthTech,US,other,Basic,41,False,516,19885.0,238620.0,410.0,413,4.0,3.6666666666666665,0.0,True,False,0
A-e351e1,Company_62,EdTech,US,other,Enterprise,33,False,4,627.0,7524.0,33.0,226,2.0,4.0,0.0,False,False,1
A-9badbd,Company_63,Cybersecurity,DE,ads,Enterprise,5,True,103,13796.0,165552.0,244.0,647,4.0,5.0,0.0,False,False,0
A-7e0a10,Company_64,FinTech,US,ads,Enterprise,46,False,317,27186.0,326232.0,414.0,431,4.0,4.0,0.0,True,False,0
A-526d93,Company_66,HealthTech,FR,organic,Basic,43,False,169,29827.0,357924.0,309.0,460,4.0,3.5,0.25,True,False,0
A-f92792,Company_67,FinTech,US,ads,Pro,1,False,88,17262.0,207144.0,144.0,467,1.0,4.0,0.0,False,True,1
A-84ebe4,Company_68,FinTech,US,ads,Pro,18,True,568,20830.0,249960.0,290.0,317,2.0,4.0,0.0,False,False,0
A-5b4ebb,Company_69,Cybersecurity,UK,other,Basic,21,True,82,2337.0,28044.0,123.0,639,4.0,4.666666666666667,0.0,False,False,0
A-9b9fe9,Company_71,EdTech,AU,other,Basic,5,False,368,3690.0,44280.0,76.0,493,3.0,4.0,0.0,False,True,0
A-a8b49c,Company_72,Cybersecurity,UK,partner,Basic,7,False,360,6846.0,82152.0,149.0,496,1.0,4.0,0.0,False,False,0
A-a1bbb6,Company_74,DevTools,CA,organic,Basic,1,False,544,14157.0,169884.0,93.0,308,3.0,4.0,0.0,False,False,0
A-c45b23,Company_75,FinTech,UK,partner,Basic,5,False,297,2854.0,34248.0,91.0,537,2.0,3.0,0.0,False,False,0
A-02cd81,Company_76,HealthTech,IN,other,Basic,44,False,186,28644.0,343728.0,528.0,624,3.0,4.5,0.3333333333333333,False,False,0
A-ee42db,Company_77,EdTech,DE,ads,Enterprise,13,False,524,10997.0,131964.0,272.0,391,4.0,3.0,0.0,True,True,1
A-432483,Company_78,Cybersecurity,US,ads,Pro,4,False,602,23412.0,280944.0,142.0,368,1.0,,0.0,True,False,0
A-9208f0,Company_79,EdTech,US,organic,Pro,1,False,508,3413.0,40956.0,151.0,488,7.0,3.5,0.14285714285714285,True,False,1
A-98a59a,Company_80,FinTech,UK,partner,Enterprise,56,False,423,33712.0,404544.0,596.0,405,2.0,5.0,0.0,True,True,0
A-fe79a5,Company_81,HealthTech,IN,ads,Basic,9,True,222,8159.0,97908.0,78.0,299,3.0,5.0,0.0,True,False,0
A-726cfa,Company_82,DevTools,US,partner,Pro,11,False,457,20785.0,249420.0,306.0,880,3.0,4.0,0.0,True,False,0
A-271f46,Company_84,DevTools,US,event,Pro,38,False,599,9728.0,116736.0,228.0,308,1.0,,0.0,False,False,0
A-157070,Company_85,FinTech,US,ads,Pro,16,False,326,18700.0,224400.0,302.0,623,2.0,,0.5,True,False,1
A-40a557,Company_86,Cybersecurity,AU,partner,Pro,16,True,302,15388.0,184656.0,130.0,376,5.0,3.0,0.0,False,False,0
A-91e948,Company_88,EdTech,AU,partner,Basic,41,False,610,13735.0,164820.0,246.0,364,0.0,,0.0,True,False,0
A-104f1a,Company_89,Cybersecurity,US,other,Pro,24,False,44,7987.0,95844.0,208.0,373,4.0,3.75,0.25,False,False,1
A-7988d1,Company_90,Cybersecurity,US,other,Basic,33,False,285,10692.0,128304.0,323.0,359,2.0,5.0,0.0,False,False,1
A-faa28c,Company_91,HealthTech,US,organic,Enterprise,48,False,244,46500.0,558000.0,594.0,495,3.0,4.666666666666667,0.3333333333333333,True,False,0
A-f25509,Company_92,EdTech,US,other,Enterprise,32,False,192,12736.0,152832.0,96.0,202,6.0,4.666666666666667,0.0,False,False,1
A-3a5ad8,Company_94,HealthTech,US,organic,Enterprise,9,True,300,11216.0,134592.0,191.0,458,3.0,4.0,0.0,True,True,0
A-65a46c,Company_95,HealthTech,US,event,Pro,1,False,331,20960.0,251520.0,200.0,286,6.0,3.6666666666666665,0.0,True,False,0
A-8b25f2,Company_96,Cybersecurity,US,ads,Pro,6,False,226,8957.0,107484.0,103.0,489,2.0,4.0,0.0,True,False,0
A-adc1f3,Company_98,Cybersecurity,US,organic,Pro,2,False,56,2786.0,33432.0,30.0,280,3.0,3.5,0.0,False,False,0
A-503d5a,Company_99,FinTech,US,other,Enterprise,4,False,345,5754.0,69048.0,177.0,455,7.0,4.0,0.0,False,True,0
A-186a44,Company_101,HealthTech,US,ads,Enterprise,20,False,420,7276.0,87312.0,144.0,522,6.0,3.3333333333333335,0.0,False,True,0
A-e888d1,Company_102,Cybersecurity,US,other,Pro,14,False,552,5162.0,61944.0,184.0,488,5.0,4.0,0.2,True,False,1
A-69fad4,Company_103,FinTech,UK,ads,Basic,6,False,543,3678.0,44136.0,55.0,334,4.0,3.6666666666666665,0.0,False,False,0
A-9289f6,Company_104,EdTech,US,event,Enterprise,1,False,488,11347.0,136164.0,185.0,555,4.0,4.0,0.0,True,False,0
A-f19409,Company_105,DevTools,US,other,Basic,23,False,564,27767.0,333204.0,261.0,556,2.0,,0.0,True,False,0
A-2e3bad,Company_108,FinTech,CA,other,Pro,61,False,414,40565.0,486780.0,366.0,403,5.0,3.5,0.0,False,False,0
A-484819,Company_109,HealthTech,US,organic,Pro,18,False,587,11506.0,138072.0,94.0,319,5.0,4.5,0.0,True,False,0
A-425e76,Company_110,DevTools,UK,other,Enterprise,8,False,502,10743.0,128916.0,237.0,393,5.0,3.3333333333333335,0.2,True,False,1
A-e83938,Company_111,DevTools,UK,other,Pro,2,True,314,5084.0,61008.0,69.0,242,3.0,,0.0,True,False,1
A-ad296b,Company_112,DevTools,AU,event,Pro,38,False,77,15846.0,190152.0,152.0,258,3.0,3.6666666666666665,0.3333333333333333,False,False,0
A-e51ec7,Company_113,FinTech,CA,partner,Enterprise,2,False,373,5569.0,66828.0,38.0,384,2.0,,0.0,True,True,0
A-0aaf6e,Company_114,FinTech,US,organic,Enterprise,3,False,142,2269.0,27228.0,90.0,502,4.0,3.0,0.0,False,False,0
A-e61e98,Company_115,FinTech,US,partner,Enterprise,19,False,346,13484.0,161808.0,238.0,509,5.0,4.6,0.2,True,False,1
A-92a333,Company_116,FinTech,US,event,Enterprise,9,False,556,10659.0,127908.0,141.0,285,4.0,,0.25,False,True,0
A-95b24a,Company_117,FinTech,US,event,Pro,38,False,482,25034.0,300408.0,394.0,513,5.0,4.25,0.0,True,True,0
A-42e5e1,Company_118,DevTools,US,ads,Pro,1,False,83,68.0,816.0,55.0,345,3.0,4.0,0.0,True,True,1
A-7d514c,Company_119,HealthTech,DE,organic,Enterprise,17,False,240,19862.0,238344.0,162.0,451,2.0,5.0,0.0,True,False,0
A-65aeb5,Company_120,DevTools,US,partner,Pro,9,False,249,32430.0,389160.0,219.0,468,2.0,5.0,0.0,False,True,1
A-e2cd1b,Company_121,DevTools,US,other,Enterprise,15,False,239,6761.0,81132.0,134.0,405,5.0,4.0,0.0,False,False,0
A-180abf,Company_122,DevTools,US,event,Pro,64,False,413,17088.0,205056.0,192.0,453,3.0,3.0,0.0,True,False,0
A-f17767,Company_123,DevTools,US,event,Enterprise,1,True,609,14179.0,170148.0,151.0,662,3.0,4.0,0.3333333333333333,True,True,0
A-5a184f,Company_124,DevTools,DE,other,Enterprise,1,False,469,19980.0,239760.0,229.0,471,3.0,4.333333333333333,0.0,False,True,0
A-7df7a7,Company_125,DevTools,US,organic,Basic,7,False,611,18475.0,221700.0,229.0,775,3.0,4.0,0.3333333333333333,False,True,0
A-52dd88,Company_127,Cybersecurity,US,ads,Pro,23,False,587,14590.0,175080.0,213.0,455,1.0,,0.0,False,False,0
A-bece89,Company_128,Cybersecurity,IN,event,Pro,26,False,304,17388.0,208656.0,132.0,132,4.0,4.0,0.25,True,False,0
A-029f69,Company_129,Cybersecurity,CA,event,Basic,3,False,207,10955.0,131460.0,110.0,751,2.0,3.0,0.0,False,False,1
A-5c046d,Company_130,EdTech,FR,partner,Basic,93,False,86,24831.0,297972.0,279.0,433,1.0,3.0,0.0,False,False,0
A-ae052e,Company_132,FinTech,CA,other,Basic,39,False,385,3822.0,45864.0,117.0,273,4.0,4.0,0.0,True,True,1
A-9f9299,Company_133,FinTech,US,organic,Enterprise,28,True,394,25452.0,305424.0,228.0,676,3.0,,0.0,False,False,1
A-96e141,Company_134,DevTools,UK,partner,Basic,14,False,415,15183.0,182196.0,157.0,301,5.0,4.333333333333333,0.0,False,False,0
A-117171,Company_135,HealthTech,FR,organic,Basic,45,False,18,0.0,0.0,0.0,193,5.0,3.5,0.2,False,False,1
A-313be3,Company_136,EdTech,US,partner,Enterprise,47,True,320,16703.0,200436.0,385.0,478,3.0,,0.0,True,False,0
A-bbc346,Company_138,FinTech,US,partner,Enterprise,19,False,32,9492.0,113904.0,146.0,583,3.0,4.5,0.0,True,True,1
A-c16101,Company_139,EdTech,IN,other,Basic,7,False,24,4826.0,57912.0,44.0,456,3.0,5.0,0.0,True,True,1
A-50f3f7,Company_140,HealthTech,US,partner,Basic,31,False,283,17178.0,206136.0,344.0,556,6.0,5.0,0.16666666666666666,False,True,0
A-7da956,Company_141,Cybersecurity,US,event,Pro,13,True,120,4164.0,49968.0,105.0,459,3.0,5.0,0.0,True,True,0
A-019782,Company_142,DevTools,FR,event,Enterprise,11,False,530,5169.0,62028.0,92.0,498,1.0,,0.0,True,False,0
A-df10db,Company_143,DevTools,US,other,Enterprise,2,True,482,9342.0,112104.0,176.0,612,2.0,3.0,0.5,True,False,0
A-3932db,Company_144,HealthTech,CA,other,Pro,19,True,362,5358.0,64296.0,121.0,335,6.0,4.333333333333333,0.0,True,True,0
A-4f18f0,Company_145,DevTools,CA,other,Pro,24,True,162,12835.0,154020.0,194.0,503,5.0,4.0,0.0,False,True,1
A-4c6f11,Company_146,FinTech,CA,organic,Pro,24,True,308,7586.0,91032.0,134.0,220,3.0,4.333333333333333,0.0,False,True,1
A-8ae05d,Company_147,FinTech,IN,other,Enterprise,86,False,177,4902.0,58824.0,344.0,156,1.0,4.0,0.0,False,False,0
A-eafc6e,Company_149,DevTools,US,partner,Pro,27,False,452,16229.0,194748.0,222.0,279,1.0,,0.0,False,False,1
A-37f969,Company_150,HealthTech,IN,partner,Enterprise,30,False,352,22959.0,275508.0,261.0,280,5.0,3.6666666666666665,0.2,True,False,1
A-10b8f2,Company_151,HealthTech,DE,organic,Basic,47,True,628,28367.0,340404.0,584.0,485,3.0,4.333333333333333,0.0,True,False,0
A-439b2f,Company_152,DevTools,US,ads,Enterprise,1,False,222,522.0,6264.0,18.0,153,2.0,,0.0,False,False,1
A-544d0a,Company_153,DevTools,US,organic,Basic,2,True,151,17762.0,213144.0,158.0,416,2.0,4.0,0.5,False,True,0
A-ba6516,Company_154,FinTech,US,ads,Pro,27,False,337,21170.0,254040.0,317.0,585,5.0,4.0,0.0,True,True,0
A-038089,Company_156,DevTools,FR,other,Pro,5,False,286,2009.0,24108.0,41.0,201,6.0,3.6666666666666665,0.0,False,False,1
A-afa505,Company_157,DevTools,US,partner,Basic,70,True,278,52080.0,624960.0,560.0,414,4.0,3.0,0.25,True,True,0
A-d5a319,Company_158,FinTech,US,other,Enterprise,15,False,515,25907.0,310884.0,233.0,477,1.0,4.0,1.0,True,True,0
A-f97b9a,Company_159,FinTech,US,event,Pro,16,False,449,20403.0,244836.0,214.0,473,6.0,3.6666666666666665,0.0,False,False,0
A-2f6a32,Company_160,HealthTech,US,organic,Basic,19,False,35,361.0,4332.0,38.0,589,2.0,3.5,0.0,False,False,0
A-856b1e,Company_161,FinTech,US,partner,Basic,19,False,335,6321.0,75852.0,129.0,180,5.0,,0.2,True,False,0
A-d27f50,Company_163,Cybersecurity,UK,ads,Enterprise,44,False,72,13923.0,167076.0,177.0,424,4.0,3.75,0.0,False,False,0
A-e36807,Company_164,EdTech,AU,other,Pro,6,False,136,4933.0,59196.0,152.0,357,2.0,4.5,0.0,False,False,0
A-ff79f2,Company_165,DevTools,US,ads,Basic,8,False,158,5295.0,63540.0,45.0,344,2.0,,0.0,False,False,0
A-5b1bcd,Company_166,DevTools,US,organic,Pro,73,False,380,111617.0,1339404.0,876.0,754,3.0,4.0,0.0,True,False,0
A-71615e,Company_167,EdTech,US,organic,Basic,15,False,135,26067.0,312804.0,198.0,524,1.0,,0.0,True,False,0
A-794a0b,Company_168,HealthTech,DE,organic,Basic,23,False,486,10575.0,126900.0,181.0,255,0.0,,0.0,False,False,0
A-86902e,Company_169,HealthTech,IN,other,Enterprise,34,False,517,28629.0,343548.0,265.0,531,9.0,3.5,0.0,True,False,1
A-0532a9,Company_170,FinTech,IN,event,Pro,19,False,5,361.0,4332.0,19.0,423,7.0,3.0,0.0,False,False,1
A-9779ad,Company_171,Cybersecurity,AU,event,Pro,40,True,185,35760.0,429120.0,280.0,353,1.0,,0.0,False,False,0
A-f45426,Company_172,HealthTech,US,organic,Basic,9,False,56,4899.0,58788.0,117.0,501,3.0,4.0,0.0,False,True,1
A-fa3095,Company_174,FinTech,US,ads,Basic,70,False,393,61810.0,741720.0,560.0,504,3.0,5.0,0.0,False,False,0
A-ad64c6,Company_175,DevTools,UK,event,Pro,12,False,220,9136.0,109632.0,118.0,202,2.0,5.0,0.0,False,False,0
A-39b19f,Company_176,FinTech,US,partner,Enterprise,1,False,605,11655.0,139860.0,219.0,513,5.0,4.0,0.0,True,True,0
A-56962b,Company_177,EdTech,UK,partner,Enterprise,163,False,174,22168.0,266016.0,815.0,214,4.0,3.0,0.0,True,False,0
A-e60f9d,Company_178,FinTech,US,other,Basic,29,False,35,1421.0,17052.0,29.0,567,2.0,,0.0,False,False,0
A-158f4e,Company_180,FinTech,IN,other,Enterprise,61,False,577,27572.0,330864.0,549.0,420,5.0,4.333333333333333,0.0,False,False,1
A-5b051a,Company_181,Cybersecurity,US,event,Enterprise,22,False,56,418.0,5016.0,22.0,122,1.0,3.0,0.0,False,False,0
A-296d7c,Company_182,DevTools,DE,other,Enterprise,2,False,327,1297.0,15564.0,67.0,332,5.0,3.75,0.0,False,False,1
A-1619f8,Company_183,DevTools,US,organic,Pro,29,False,133,11496.0,137952.0,113.0,387,2.0,5.0,0.0,False,False,0
A-a1b80b,Company_184,HealthTech,US,organic,Basic,16,False,308,34589.0,415068.0,311.0,580,4.0,4.0,0.0,True,True,0
A-702032,Company_186,HealthTech,US,ads,Pro,28,False,363,5572.0,66864.0,56.0,251,4.0,3.0,0.0,False,False,0
A-7a0d69,Company_187,DevTools,DE,ads,Enterprise,4,True,107,1330.0,15960.0,106.0,516,2.0,5.0,0.0,True,False,1
A-22d9d2,Company_188,DevTools,FR,event,Pro,8,False,192,6252.0,75024.0,108.0,666,5.0,4.333333333333333,0.0,True,False,1
A-b9eed8,Company_189,Cybersecurity,US,organic,Basic,11,False,220,5547.0,66564.0,93.0,540,5.0,3.75,0.2,False,True,0
A-dfbd31,Company_190,DevTools,UK,partner,Enterprise,14,False,301,7134.0,85608.0,178.0,559,5.0,4.25,0.0,True,False,1
A-8e47ca,Company_191,HealthTech,US,organic,Pro,19,False,228,23145.0,277740.0,165.0,411,5.0,4.0,0.2,True,False,0
A-4437e4,Company_192,Cybersecurity,US,event,Enterprise,3,False,380,15869.0,190428.0,204.0,738,4.0,3.0,0.5,True,False,0
A-779e4e,Company_193,HealthTech,US,organic,Basic,5,False,637,27150.0,325800.0,270.0,365,4.0,3.6666666666666665,0.0,True,True,0
A-53f4e3,Company_194,Cybersecurity,UK,event,Enterprise,13,False,108,5329.0,63948.0,61.0,352,5.0,4.0,0.0,False,False,1
A-692f18,Company_195,EdTech,US,other,Basic,5,True,186,22798.0,273576.0,222.0,776,1.0,5.0,0.0,True,True,1
A-13466a,Company_196,DevTools,AU,event,Basic,2,False,344,8927.0,107124.0,118.0,167,2.0,5.0,0.0,False,False,0
A-1986ca,Company_197,HealthTech,IN,ads,Pro,20,False,609,27661.0,331932.0,159.0,325,7.0,3.4,0.0,True,False,0
A-0cc442,Company_198,EdTech,US,organic,Basic,45,False,74,31517.0,378204.0,323.0,668,3.0,3.0,0.0,True,True,1
A-c608c8,Company_199,DevTools,DE,ads,Pro,3,False,522,6296.0,75552.0,104.0,375,2.0,3.0,0.0,True,True,0
A-3be56b,Company_200,HealthTech,IN,event,Pro,3,False,340,14945.0,179340.0,213.0,472,4.0,3.5,0.0,True,True,0
A-354f12,Company_201,FinTech,US,ads,Pro,1,True,155,6965.0,83580.0,35.0,91,2.0,,0.0,False,True,0
A-68f37c,Company_202,HealthTech,US,ads,Basic,4,False,443,30678.0,368136.0,358.0,565,4.0,4.0,0.0,True,False,1
A-aa9511,Company_203,DevTools,US,other,Pro,23,True,356,38842.0,466104.0,378.0,536,2.0,4.0,0.0,False,False,0
A-af0cd2,Company_204,Cybersecurity,IN,other,Enterprise,19,True,636,5377.0,64524.0,208.0,568,3.0,,0.0,True,False,0
A-c222ab,Company_206,Cybersecurity,US,other,Pro,32,False,143,9504.0,114048.0,96.0,350,1.0,,0.0,False,False,1
A-34d880,Company_207,Cybersecurity,AU,ads,Enterprise,4,False,172,18394.0,220728.0,122.0,411,3.0,3.0,0.0,False,False,1
A-508199,Company_208,FinTech,AU,event,Basic,19,False,246,8436.0,101232.0,84.0,183,3.0,3.0,0.0,False,False,0
A-f03140,Company_209,DevTools,IN,event,Pro,27,True,313,15702.0,188424.0,228.0,518,7.0,3.6666666666666665,0.0,False,True,1
A-fa2041,Company_211,HealthTech,US,organic,Pro,15,True,124,10766.0,129192.0,172.0,456,1.0,3.0,0.0,False,False,0
A-de58ca,Company_212,HealthTech,DE,organic,Enterprise,15,False,536,23170.0,278040.0,405.0,463,4.0,3.0,0.0,False,False,0
A-05d3b3,Company_213,DevTools,AU,ads,Basic,9,True,491,8373.0,100476.0,190.0,593,5.0,4.333333333333333,0.0,False,False,0
A-249769,Company_214,Cybersecurity,US,event,Enterprise,4,False,158,14727.0,176724.0,142.0,556,1.0,3.0,0.0,False,False,1
A-e43bf7,Company_215,Cybersecurity,AU,other,Pro,44,False,556,37910.0,454920.0,290.0,333,3.0,5.0,0.3333333333333333,True,False,0
A-eb2fdc,Company_216,DevTools,AU,organic,Enterprise,31,False,314,20555.0,246660.0,245.0,465,5.0,4.5,0.0,False,False,0
A-e1462e,Company_217,FinTech,UK,partner,Basic,15,False,568,11745.0,140940.0,133.0,321,2.0,3.5,0.0,True,True,1
A-cab532,Company_218,DevTools,FR,organic,Pro,11,True,546,14243.0,170916.0,245.0,883,1.0,4.0,0.0,True,True,0
A-9123ac,Company_219,Cybersecurity,DE,organic,Pro,9,False,468,9179.0,110148.0,86.0,303,4.0,4.666666666666667,0.0,False,True,1
A-6e08f3,Company_220,Cybersecurity,US,event,Basic,8,False,581,12371.0,148452.0,131.0,388,2.0,3.5,0.0,True,True,0
A-d922bf,Company_221,HealthTech,US,ads,Basic,5,True,388,15323.0,183876.0,123.0,379,7.0,3.3333333333333335,0.14285714285714285,False,False,1
A-8ed5dd,Company_222,EdTech,UK,event,Enterprise,5,False,459,11426.0,137112.0,134.0,490,5.0,4.0,0.0,True,False,1
A-3c1a3f,Company_224,DevTools,UK,event,Pro,1,False,401,7773.0,93276.0,128.0,414,4.0,3.5,0.0,False,True,0
A-b2af2e,Company_227,Cybersecurity,UK,event,Enterprise,5,False,37,1091.0,13092.0,29.0,144,2.0,4.0,0.0,False,False,1
A-9bfc9f,Company_228,DevTools,CA,ads,Pro,53,False,382,12745.0,152940.0,431.0,357,6.0,3.3333333333333335,0.16666666666666666,True,True,0
A-4ae22a,Company_229,EdTech,US,other,Pro,6,False,144,7592.0,91104.0,68.0,308,3.0,3.0,0.0,False,False,0
A-fda07f,Company_230,Cybersecurity,FR,partner,Basic,7,False,50,7769.0,93228.0,71.0,613,5.0,4.0,0.0,True,False,0
A-977ca0,Company_232,HealthTech,IN,partner,Basic,6,False,588,29255.0,351060.0,377.0,722,2.0,,0.0,True,False,0
A-ab438f,Company_233,Cybersecurity,US,ads,Enterprise,13,False,17,0.0,0.0,0.0,340,2.0,3.5,0.0,False,False,1
A-e89151,Company_234,FinTech,UK,organic,Pro,8,True,382,9867.0,118404.0,93.0,522,1.0,5.0,0.0,True,False,0
A-40906c,Company_235,EdTech,US,ads,Basic,92,False,187,30820.0,369840.0,644.0,612,2.0,4.0,0.0,False,False,0
A-81edc3,Company_236,Cybersecurity,IN,ads,Basic,5,False,336,14926.0,179112.0,161.0,604,3.0,4.0,0.0,True,False,1
