account_id,account_name,plan_tier,current_mrr,current_arr,churn_probability,revenue_at_risk,priority,recommended_action,avg_satisfaction,ticket_count,escalation_rate,total_usage_count,has_upgraded,has_downgraded
A-32fb14,Company_25,Enterprise,3601.0,43212.0,0.2411821403625281,868.4968874454637,Low,Proactive retention outreach,4.5,5.0,0.0,460,True,False
A-00cac8,Company_26,Enterprise,9210.0,110520.0,0.21875042461971198,2014.6914107475473,Low,Proactive retention outreach,,2.0,0.0,555,False,False
A-35083d,Company_27,Basic,20820.0,249840.0,0.21023292814303204,4377.049563937927,Low,Proactive retention outreach,5.0,4.0,0.0,674,True,False
A-eb7fac,Company_28,Enterprise,41259.0,495108.0,0.20050044927430247,8272.448036608446,High,Proactive retention outreach,4.0,4.0,0.0,484,False,False
A-b20d99,Company_29,Basic,7089.0,85068.0,0.22463019303793705,1592.4034384459358,Low,Proactive retention outreach,3.5,2.0,0.0,329,False,False
A-45ce7a,Company_31,Enterprise,4248.0,50976.0,0.4240184919480614,1801.2305537953648,Medium,Account retention review,3.6666666666666665,4.0,0.0,392,True,True
A-08e34e,Company_32,Basic,10422.0,125064.0,0.30713976769501766,3201.0106589174743,Medium,Customer satisfaction outreach,3.0,3.0,0.0,556,False,False
A-8145a0,Company_33,Basic,12000.0,144000.0,0.07933438874605565,952.0126649526678,Low,Proactive retention outreach,4.0,5.0,0.0,614,True,False
A-bad8c1,Company_34,Basic,7797.0,93564.0,0.036938836222153104,288.0121060241278,Low,Proactive retention outreach,4.0,1.0,0.0,332,True,False
A-44dc83,Company_35,Basic,456.0,5472.0,0.23563045762565035,107.44748867729656,Low,Proactive retention outreach,4.6,7.0,0.0,236,False,False
A-f446b6,Company_36,Pro,11392.0,136704.0,0.15458636009320137,1761.04781418175,Low,Proactive retention outreach,4.25,7.0,0.0,322,False,False
A-a45270,Company_37,Enterprise,16601.0,199212.0,0.6572664141119358,10911.279740672246,High,Proactive retention outreach,,2.0,0.0,687,True,False
A-05f0e5,Company_40,Basic,45082.0,540984.0,0.057197960179985116,2578.598440834089,Low,Proactive retention outreach,4.0,3.0,0.0,557,True,False
A-9077b0,Company_41,Basic,38.0,456.0,0.4675159906409435,17.765607644355853,Medium,Proactive retention outreach,4.333333333333333,3.0,0.0,460,False,False
A-7f8241,Company_42,Pro,32104.0,385248.0,0.0746949470538973,2398.006580218319,Low,Customer satisfaction outreach,3.0,1.0,0.0,616,True,False
A-2bc93d,Company_43,Basic,30413.0,364956.0,0.05347201158813276,1626.2442884298816,Low,Proactive retention outreach,4.0,1.0,0.0,577,True,False
A-f3ff05,Company_44,Enterprise,8973.0,107676.0,0.7836754280112235,7031.919615544708,High,Proactive retention outreach,3.5,3.0,0.0,616,True,False
A-2d4502,Company_45,Basic,15481.0,185772.0,0.2543561813135482,3937.6880429150397,Low,Proactive retention outreach,5.0,3.0,0.0,446,True,False
A-6a4e2d,Company_46,Pro,9708.0,116496.0,0.2245126462554873,2179.5687698482707,Low,Priority support intervention,4.5,2.0,0.5,517,True,True
A-eb7c38,Company_47,Enterprise,29666.0,355992.0,0.4745009137650787,14076.544107754824,High,Account retention review,4.333333333333333,5.0,0.0,608,True,True
A-3b5cd1,Company_49,Basic,10542.0,126504.0,0.12684825199388594,1337.2342725195456,Low,Account retention review,4.0,4.0,0.0,425,True,True
A-b2225d,Company_50,Basic,15745.0,188940.0,0.4232263822408366,6663.699388381972,Medium,Customer satisfaction outreach,3.0,2.0,0.0,615,True,True
A-94f8c9,Company_51,Basic,12391.0,148692.0,0.3489447667777354,4323.774605142919,Medium,Proactive retention outreach,5.0,3.0,0.0,655,True,False
A-02fac6,Company_52,Pro,20954.0,251448.0,0.11693501357893922,2450.2562745330924,Low,Proactive retention outreach,4.0,6.0,0.0,401,False,False
A-c1dfe1,Company_53,Pro,25296.0,303552.0,0.2135252698695293,5401.335226619613,Low,Account retention review,4.0,3.0,0.0,343,True,True
A-32728c,Company_54,Pro,4118.0,49416.0,0.11233484756884592,462.59490228850746,Low,Proactive retention outreach,3.5,2.0,0.0,390,True,False
A-4c38bc,Company_55,Basic,29520.0,354240.0,0.39099196768000255,11542.082885913675,High,Proactive retention outreach,3.5,3.0,0.0,712,True,False
A-1b707d,Company_56,Enterprise,7945.0,95340.0,0.1260444958997127,1001.4235199232174,Low,Proactive retention outreach,,2.0,0.0,320,False,False
A-6f8ad2,Company_57,Basic,20619.0,247428.0,0.45521838165566564,9386.14781135817,High,Proactive retention outreach,4.0,2.0,0.0,819,True,False
A-4d1e75,Company_58,Basic,13698.0,164376.0,0.3490358061897373,4781.092473187021,Medium,Proactive retention outreach,4.0,2.0,0.0,430,True,False
A-9ee962,Company_59,Basic,9249.0,110988.0,0.13819386386681548,1278.1550469041763,Low,Account retention review,4.0,3.0,0.0,416,True,True
A-378b99,Company_60,Pro,2223.0,26676.0,0.5943764501577996,1321.2988487007885,High,Proactive retention outreach,4.5,6.0,0.0,480,False,False
A-94d3da,Company_61,Basic,19885.0,238620.0,0.10051308513847704,1998.7026979786158,Low,Proactive retention outreach,3.6666666666666665,4.0,0.0,413,True,False
A-e351e1,Company_62,Enterprise,627.0,7524.0,0.4459519931778855,279.6118997225342,Medium,Proactive retention outreach,4.0,2.0,0.0,226,False,False
A-9badbd,Company_63,Enterprise,13796.0,165552.0,0.44851939317342304,6187.773548220544,Medium,Proactive retention outreach,5.0,4.0,0.0,647,False,False
A-7e0a10,Company_64,Enterprise,27186.0,326232.0,0.2773770767371859,7540.773208177136,High,Proactive retention outreach,4.0,4.0,0.0,431,True,False
A-526d93,Company_66,Basic,29827.0,357924.0,0.18495133370260902,5516.54343034772,Low,Proactive retention outreach,3.5,4.0,0.25,460,True,False
A-f92792,Company_67,Pro,17262.0,207144.0,0.4636725128967083,8003.9149176229785,High,Account retention review,4.0,1.0,0.0,467,False,True
A-84ebe4,Company_68,Pro,20830.0,249960.0,0.05028415562081647,1047.4189615816072,Low,Proactive retention outreach,4.0,2.0,0.0,317,False,False
A-5b4ebb,Company_69,Basic,2337.0,28044.0,0.44829965542457645,1047.6762947272352,Medium,Proactive retention outreach,4.666666666666667,4.0,0.0,639,False,False
A-9b9fe9,Company_71,Basic,3690.0,44280.0,0.19716079400632822,727.5233298833512,Low,Account retention review,4.0,3.0,0.0,493,False,True
A-a8b49c,Company_72,Basic,6846.0,82152.0,0.19401917601009933,1328.25527896514,Low,Proactive retention outreach,4.0,1.0,0.0,496,False,False
A-a1bbb6,Company_74,Basic,14157.0,169884.0,0.06851801556997768,970.009546424174,Low,Proactive retention outreach,4.0,3.0,0.0,308,False,False
A-c45b23,Company_75,Basic,2854.0,34248.0,0.41791981541458767,1192.7431531932332,Medium,Customer satisfaction outreach,3.0,2.0,0.0,537,False,False
A-02cd81,Company_76,Basic,28644.0,343728.0,0.32794902850505064,9393.771972498671,High,Priority support intervention,4.5,3.0,0.3333333333333333,624,False,False
A-ee42db,Company_77,Enterprise,10997.0,131964.0,0.2853202529292472,3137.6668214629312,Low,Customer satisfaction outreach,3.0,4.0,0.0,391,True,True
A-432483,Company_78,Pro,23412.0,280944.0,0.0484548812250402,1134.425679240641,Low,Proactive retention outreach,,1.0,0.0,368,True,False
A-9208f0,Company_79,Pro,3413.0,40956.0,0.21059482788029185,718.7601475554361,Low,Proactive retention outreach,3.5,7.0,0.1428571428571428,488,True,False
A-98a59a,Company_80,Enterprise,33712.0,404544.0,0.2449264132880067,8256.959244765283,High,Account retention review,5.0,2.0,0.0,405,True,True
A-fe79a5,Company_81,Basic,8159.0,97908.0,0.18824684167370143,1535.90598121573,Low,Proactive retention outreach,5.0,3.0,0.0,299,True,False
A-726cfa,Company_82,Pro,20785.0,249420.0,0.4015818802308801,8346.879380598843,High,Proactive retention outreach,4.0,3.0,0.0,880,True,False
A-271f46,Company_84,Pro,9728.0,116736.0,0.07325844847050625,712.6581867210848,Low,Proactive retention outreach,,1.0,0.0,308,False,False
A-157070,Company_85,Pro,18700.0,224400.0,0.2658091621452773,4970.631332116685,Low,Priority support intervention,,2.0,0.5,623,True,False
A-40a557,Company_86,Pro,15388.0,184656.0,0.15636638415635293,2406.165919397959,Low,Customer satisfaction outreach,3.0,5.0,0.0,376,False,False
A-91e948,Company_88,Basic,13735.0,164820.0,0.027939847971142646,383.75381188364423,Low,Proactive retention outreach,,0.0,0.0,364,True,False
A-104f1a,Company_89,Pro,7987.0,95844.0,0.39489114923784446,3153.995608962664,Medium,Proactive retention outreach,3.75,4.0,0.25,373,False,False
A-7988d1,Company_90,Basic,10692.0,128304.0,0.09147938370334856,978.0975705562028,Low,Proactive retention outreach,5.0,2.0,0.0,359,False,False
A-faa28c,Company_91,Enterprise,46500.0,558000.0,0.1659798030917815,7718.06084376784,High,Priority support intervention,4.666666666666667,3.0,0.3333333333333333,495,True,False
A-f25509,Company_92,Enterprise,12736.0,152832.0,0.2829301473228747,3603.398356304132,Low,Proactive retention outreach,4.666666666666667,6.0,0.0,202,False,False
A-3a5ad8,Company_94,Enterprise,11216.0,134592.0,0.34293746127877067,3846.3865657026918,Medium,Account retention review,4.0,3.0,0.0,458,True,True
A-65a46c,Company_95,Pro,20960.0,251520.0,0.1918184226139472,4020.514137988333,Low,Proactive retention outreach,3.6666666666666665,6.0,0.0,286,True,False
A-8b25f2,Company_96,Pro,8957.0,107484.0,0.28729256165115474,2573.279474709393,Low,Proactive retention outreach,4.0,2.0,0.0,489,True,False
A-adc1f3,Company_98,Pro,2786.0,33432.0,0.31291854588967943,871.7910688486469,Medium,Proactive retention outreach,3.5,3.0,0.0,280,False,False
A-503d5a,Company_99,Enterprise,5754.0,69048.0,0.5803341730853452,3339.242831933076,High,Account retention review,4.0,7.0,0.0,455,False,True
A-186a44,Company_101,Enterprise,7276.0,87312.0,0.6052268128186695,4403.63029006864,High,Account retention review,3.333333333333333,6.0,0.0,522,False,True
A-e888d1,Company_102,Pro,5162.0,61944.0,0.1631558091364958,842.2102867625913,Low,Proactive retention outreach,4.0,5.0,0.2,488,True,False
A-69fad4,Company_103,Basic,3678.0,44136.0,0.16878045922107426,620.7745290151112,Low,Proactive retention outreach,3.6666666666666665,4.0,0.0,334,False,False
A-9289f6,Company_104,Enterprise,11347.0,136164.0,0.21113246979585565,2395.720134773574,Low,Proactive retention outreach,4.0,4.0,0.0,555,True,False
A-f19409,Company_105,Basic,27767.0,333204.0,0.0814595156038506,2261.88636977212,Low,Proactive retention outreach,,2.0,0.0,556,True,False
A-2e3bad,Company_108,Pro,40565.0,486780.0,0.15621935616410632,6337.038182796972,Low,Proactive retention outreach,3.5,5.0,0.0,403,False,False
A-484819,Company_109,Pro,11506.0,138072.0,0.10168549533736333,1169.9933093517025,Low,Proactive retention outreach,4.5,5.0,0.0,319,True,False
A-425e76,Company_110,Enterprise,10743.0,128916.0,0.41115881647448843,4417.079165385429,Medium,Proactive retention outreach,3.333333333333333,5.0,0.2,393,True,False
A-e83938,Company_111,Pro,5084.0,61008.0,0.25809516511312025,1312.1558194351035,Low,Proactive retention outreach,,3.0,0.0,242,True,False
A-ad296b,Company_112,Pro,15846.0,190152.0,0.251850317069708,3990.820124286593,Low,Priority support intervention,3.6666666666666665,3.0,0.3333333333333333,258,False,False
A-e51ec7,Company_113,Enterprise,5569.0,66828.0,0.4252409270522424,2368.166722753938,Medium,Account retention review,,2.0,0.0,384,True,True
A-0aaf6e,Company_114,Enterprise,2269.0,27228.0,0.6112702214569246,1386.972132485762,High,Customer satisfaction outreach,3.0,4.0,0.0,502,False,False
A-e61e98,Company_115,Enterprise,13484.0,161808.0,0.3657398161697021,4931.635681232263,Medium,Proactive retention outreach,4.6,5.0,0.2,509,True,False
A-92a333,Company_116,Enterprise,10659.0,127908.0,0.1661520257180243,1771.0144421284208,Low,Account retention review,,4.0,0.25,285,False,True
A-95b24a,Company_117,Pro,25034.0,300408.0,0.19401292812122609,4856.919642586774,Low,Account retention review,4.25,5.0,0.0,513,True,True
A-42e5e1,Company_118,Pro,68.0,816.0,0.6040207148207829,41.073408607813235,High,Account retention review,4.0,3.0,0.0,345,True,True
A-7d514c,Company_119,Enterprise,19862.0,238344.0,0.28389430209710026,5638.708628252605,Low,Proactive retention outreach,5.0,2.0,0.0,451,True,False
A-65aeb5,Company_120,Pro,32430.0,389160.0,0.2612410102223183,8472.045961509783,High,Account retention review,5.0,2.0,0.0,468,False,True
A-e2cd1b,Company_121,Enterprise,6761.0,81132.0,0.5187254773478509,3507.10295234882,High,Proactive retention outreach,4.0,5.0,0.0,405,False,False
A-180abf,Company_122,Pro,17088.0,205056.0,0.2226673586855638,3804.9398252189144,Low,Customer satisfaction outreach,3.0,3.0,0.0,453,True,False
A-f17767,Company_123,Enterprise,14179.0,170148.0,0.21903628987350812,3105.7155541164716,Low,Priority support intervention,4.0,3.0,0.3333333333333333,662,True,True
A-5a184f,Company_124,Enterprise,19980.0,239760.0,0.3257379619803469,6508.244480367331,Medium,Account retention review,4.333333333333333,3.0,0.0,471,False,True
A-7df7a7,Company_125,Basic,18475.0,221700.0,0.16699422661361862,3085.2183366866043,Low,Priority support intervention,4.0,3.0,0.3333333333333333,775,False,True
A-52dd88,Company_127,Pro,14590.0,175080.0,0.07848111929392027,1145.0395304982967,Low,Proactive retention outreach,,1.0,0.0,455,False,False
A-bece89,Company_128,Pro,17388.0,208656.0,0.12312092130164197,2140.8265795929506,Low,Product adoption outreach,4.0,4.0,0.25,132,True,False
A-029f69,Company_129,Basic,10955.0,131460.0,0.34840709647205265,3816.799741851337,Medium,Customer satisfaction outreach,3.0,2.0,0.0,751,False,False
A-5c046d,Company_130,Basic,24831.0,297972.0,0.19646157913746648,4878.33747156243,Low,Customer satisfaction outreach,3.0,1.0,0.0,433,False,False
A-ae052e,Company_132,Basic,3822.0,45864.0,0.22080225161618422,843.906205677056,Low,Account retention review,4.0,4.0,0.0,273,True,True
A-9f9299,Company_133,Enterprise,25452.0,305424.0,0.21757199292053048,5537.642363813342,Low,Proactive retention outreach,,3.0,0.0,676,False,False
A-96e141,Company_134,Basic,15183.0,182196.0,0.18688258202547217,2837.438242892744,Low,Proactive retention outreach,4.333333333333333,5.0,0.0,301,False,False
A-117171,Company_135,Basic,0.0,0.0,0.33432108835870034,0.0,Medium,Product adoption outreach,3.5,5.0,0.2,193,False,False
A-313be3,Company_136,Enterprise,16703.0,200436.0,0.19970313246771737,3335.641421608283,Low,Proactive retention outreach,,3.0,0.0,478,True,False
A-bbc346,Company_138,Enterprise,9492.0,113904.0,0.7440339034932463,7062.369811957894,High,Account retention review,4.5,3.0,0.0,583,True,True
A-c16101,Company_139,Basic,4826.0,57912.0,0.5174961390777574,2497.436367189257,High,Account retention review,5.0,3.0,0.0,456,True,True
A-50f3f7,Company_140,Basic,17178.0,206136.0,0.3365463222645379,5781.192723860232,Medium,Account retention review,5.0,6.0,0.1666666666666666,556,False,True
A-7da956,Company_141,Pro,4164.0,49968.0,0.2893971063202612,1205.0495507175676,Low,Account retention review,5.0,3.0,0.0,459,True,True
A-019782,Company_142,Enterprise,5169.0,62028.0,0.21264182811235352,1099.1456095127553,Low,Proactive retention outreach,,1.0,0.0,498,True,False
A-df10db,Company_143,Enterprise,9342.0,112104.0,0.277181960551673,2589.433875473729,Low,Priority support intervention,3.0,2.0,0.5,612,True,False
A-3932db,Company_144,Pro,5358.0,64296.0,0.3363298585224773,1802.0553819634335,Medium,Account retention review,4.333333333333333,6.0,0.0,335,True,True
A-4f18f0,Company_145,Pro,12835.0,154020.0,0.5483111725819888,7037.573900089827,High,Account retention review,4.0,5.0,0.0,503,False,True
A-4c6f11,Company_146,Pro,7586.0,91032.0,0.16758434927736068,1271.294873618058,Low,Account retention review,4.333333333333333,3.0,0.0,220,False,True
A-8ae05d,Company_147,Enterprise,4902.0,58824.0,0.3914602670693453,1918.9382291739305,Medium,Product adoption outreach,4.0,1.0,0.0,156,False,False
A-eafc6e,Company_149,Pro,16229.0,194748.0,0.11343654749595154,1840.9617293117976,Low,Proactive retention outreach,,1.0,0.0,279,False,False
A-37f969,Company_150,Enterprise,22959.0,275508.0,0.3542092543456758,8132.2902705223705,High,Proactive retention outreach,3.6666666666666665,5.0,0.2,280,True,False
A-10b8f2,Company_151,Basic,28367.0,340404.0,0.029522602525914612,837.4676658526198,Low,Proactive retention outreach,4.333333333333333,3.0,0.0,485,True,False
A-439b2f,Company_152,Enterprise,522.0,6264.0,0.3359176452697446,175.3490108308067,Medium,Product adoption outreach,,2.0,0.0,153,False,False
A-544d0a,Company_153,Basic,17762.0,213144.0,0.16722528081893173,2970.2554379058656,Low,Priority support intervention,4.0,2.0,0.5,416,False,True
A-ba6516,Company_154,Pro,21170.0,254040.0,0.42199045263553,8933.53788229417,High,Account retention review,4.0,5.0,0.0,585,True,True
A-038089,Company_156,Pro,2009.0,24108.0,0.3314286764241296,665.8402109360763,Medium,Proactive retention outreach,3.6666666666666665,6.0,0.0,201,False,False
A-afa505,Company_157,Basic,52080.0,624960.0,0.1000830916448364,5212.32741286308,Low,Customer satisfaction outreach,3.0,4.0,0.25,414,True,True
A-d5a319,Company_158,Enterprise,25907.0,310884.0,0.15337028062313743,3973.3638601036214,Low,Priority support intervention,4.0,1.0,1.0,477,True,True
A-f97b9a,Company_159,Pro,20403.0,244836.0,0.19230848114505783,3923.6699408026147,Low,Proactive retention outreach,3.6666666666666665,6.0,0.0,473,False,False
A-2f6a32,Company_160,Basic,361.0,4332.0,0.5024478477514406,181.38367303827005,High,Proactive retention outreach,3.5,2.0,0.0,589,False,False
A-856b1e,Company_161,Basic,6321.0,75852.0,0.12404857254843063,784.1110270786301,Low,Product adoption outreach,,5.0,0.2,180,True,False
A-d27f50,Company_163,Enterprise,13923.0,167076.0,0.6206896420347094,8641.861886049259,High,Proactive retention outreach,3.75,4.0,0.0,424,False,False
A-e36807,Company_164,Pro,4933.0,59196.0,0.2403432214515392,1185.613111420443,Low,Proactive retention outreach,4.5,2.0,0.0,357,False,False
A-ff79f2,Company_165,Basic,5295.0,63540.0,0.269044903423208,1424.5927636258864,Low,Proactive retention outreach,,2.0,0.0,344,False,False
A-5b1bcd,Company_166,Pro,111617.0,1339404.0,0.03693107584351916,4122.135892426078,Low,Proactive retention outreach,4.0,3.0,0.0,754,True,False
A-71615e,Company_167,Basic,26067.0,312804.0,0.13297951226766547,3466.3769462812356,Low,Proactive retention outreach,,1.0,0.0,524,True,False
A-794a0b,Company_168,Basic,10575.0,126900.0,0.05045618169139716,533.5741213865249,Low,Proactive retention outreach,,0.0,0.0,255,False,False
A-86902e,Company_169,Enterprise,28629.0,343548.0,0.48266509112510736,13818.218893820698,High,Proactive retention outreach,3.5,9.0,0.0,531,True,False
A-0532a9,Company_170,Pro,361.0,4332.0,0.7742173071051792,279.4924478649697,High,Customer satisfaction outreach,3.0,7.0,0.0,423,False,False
A-9779ad,Company_171,Pro,35760.0,429120.0,0.05457981122740851,1951.7740494921281,Low,Proactive retention outreach,,1.0,0.0,353,False,False
A-f45426,Company_172,Basic,4899.0,58788.0,0.48845810818109536,2392.956271979186,Medium,Account retention review,4.0,3.0,0.0,501,False,True
A-fa3095,Company_174,Basic,61810.0,741720.0,0.039441988069341016,2437.909282565968,Low,Proactive retention outreach,5.0,3.0,0.0,504,False,False
A-ad64c6,Company_175,Pro,9136.0,109632.0,0.24228896835051714,2213.5520148503247,Low,Proactive retention outreach,5.0,2.0,0.0,202,False,False
A-39b19f,Company_176,Enterprise,11655.0,139860.0,0.31753611590319303,3700.883430851715,Medium,Account retention review,4.0,5.0,0.0,513,True,True
A-56962b,Company_177,Enterprise,22168.0,266016.0,0.3797643025163917,8418.615058183372,High,Customer satisfaction outreach,3.0,4.0,0.0,214,True,False
A-e60f9d,Company_178,Basic,1421.0,17052.0,0.4879546639144118,693.3835774223792,Medium,Proactive retention outreach,,2.0,0.0,567,False,False
A-158f4e,Company_180,Enterprise,27572.0,330864.0,0.2045428972069973,5639.65676179133,Low,Proactive retention outreach,4.333333333333333,5.0,0.0,420,False,False
A-5b051a,Company_181,Enterprise,418.0,5016.0,0.2977283654840163,124.45045677231882,Low,Customer satisfaction outreach,3.0,1.0,0.0,122,False,False
A-296d7c,Company_182,Enterprise,1297.0,15564.0,0.46670735874809893,605.3194442962844,Medium,Proactive retention outreach,3.75,5.0,0.0,332,False,False
A-1619f8,Company_183,Pro,11496.0,137952.0,0.2843425053163739,3268.8014411170343,Low,Proactive retention outreach,5.0,2.0,0.0,387,False,False
A-a1b80b,Company_184,Basic,34589.0,415068.0,0.20031699430353614,6928.764515965012,Low,Account retention review,4.0,4.0,0.0,580,True,True
A-702032,Company_186,Pro,5572.0,66864.0,0.2757785540642314,1536.6381032458974,Low,Customer satisfaction outreach,3.0,4.0,0.0,251,False,False
A-7a0d69,Company_187,Enterprise,1330.0,15960.0,0.5172321327882982,687.9187366084366,High,Proactive retention outreach,5.0,2.0,0.0,516,True,False
A-22d9d2,Company_188,Pro,6252.0,75024.0,0.5526389602164592,3455.098779273303,High,Proactive retention outreach,4.333333333333333,5.0,0.0,666,True,False
A-b9eed8,Company_189,Basic,5547.0,66564.0,0.3246595889850352,1800.8867400999904,Medium,Account retention review,3.75,5.0,0.2,540,False,True
A-dfbd31,Company_190,Enterprise,7134.0,85608.0,0.675959104265256,4822.292249828336,High,Proactive retention outreach,4.25,5.0,0.0,559,True,False
A-8e47ca,Company_191,Pro,23145.0,277740.0,0.2609144189307589,6038.864226152415,Low,Proactive retention outreach,4.0,5.0,0.2,411,True,False
A-4437e4,Company_192,Enterprise,15869.0,190428.0,0.3601630024645364,5715.4266861097285,Medium,Priority support intervention,3.0,4.0,0.5,738,True,False
A-779e4e,Company_193,Basic,27150.0,325800.0,0.05901125008832097,1602.1554398979142,Low,Account retention review,3.6666666666666665,4.0,0.0,365,True,True
A-53f4e3,Company_194,Enterprise,5329.0,63948.0,0.5483610761846059,2922.216174987765,High,Proactive retention outreach,4.0,5.0,0.0,352,False,False
A-692f18,Company_195,Basic,22798.0,273576.0,0.21869395942437808,4985.784886956972,Low,Account retention review,5.0,1.0,0.0,776,True,True
A-13466a,Company_196,Basic,8927.0,107124.0,0.05321713850459674,475.06939543053505,Low,Product adoption outreach,5.0,2.0,0.0,167,False,False
A-1986ca,Company_197,Pro,27661.0,331932.0,0.18987957091574723,5252.258811100484,Low,Proactive retention outreach,3.4,7.0,0.0,325,True,False
A-0cc442,Company_198,Basic,31517.0,378204.0,0.35492352429953333,11186.124715348393,High,Customer satisfaction outreach,3.0,3.0,0.0,668,True,True
A-c608c8,Company_199,Pro,6296.0,75552.0,0.28047936687760444,1765.8980938613975,Low,Customer satisfaction outreach,3.0,2.0,0.0,375,True,True
A-3be56b,Company_200,Pro,14945.0,179340.0,0.4724621440561096,7060.946742918558,Medium,Account retention review,3.5,4.0,0.0,472,True,True
A-354f12,Company_201,Pro,6965.0,83580.0,0.20332147940294262,1416.1341040414954,Low,Account retention review,,2.0,0.0,91,False,True
A-68f37c,Company_202,Basic,30678.0,368136.0,0.12849794757782884,3942.0600357926332,Low,Proactive retention outreach,4.0,4.0,0.0,565,True,False
A-aa9511,Company_203,Pro,38842.0,466104.0,0.11796312500078869,4581.923701280634,Low,Proactive retention outreach,4.0,2.0,0.0,536,False,False
A-af0cd2,Company_204,Enterprise,5377.0,64524.0,0.1970239599197012,1059.3978324882335,Low,Proactive retention outreach,,3.0,0.0,568,True,False
A-c222ab,Company_206,Pro,9504.0,114048.0,0.24500924051887132,2328.567821891353,Low,Proactive retention outreach,,1.0,0.0,350,False,False
A-34d880,Company_207,Enterprise,18394.0,220728.0,0.33758977114521976,6209.626250445172,Medium,Customer satisfaction outreach,3.0,3.0,0.0,411,False,False
A-508199,Company_208,Basic,8436.0,101232.0,0.10985942569480879,926.7741151614069,Low,Customer satisfaction outreach,3.0,3.0,0.0,183,False,False
A-f03140,Company_209,Pro,15702.0,188424.0,0.5048377142994188,7926.961789929474,High,Account retention review,3.6666666666666665,7.0,0.0,518,False,True
A-fa2041,Company_211,Pro,10766.0,129192.0,0.2994997366413768,3224.4141646810626,Low,Customer satisfaction outreach,3.0,1.0,0.0,456,False,False
A-de58ca,Company_212,Enterprise,23170.0,278040.0,0.2020597188954852,4681.723686808393,Low,Customer satisfaction outreach,3.0,4.0,0.0,463,False,False
A-05d3b3,Company_213,Basic,8373.0,100476.0,0.13288513628857312,1112.6472461442227,Low,Proactive retention outreach,4.333333333333333,5.0,0.0,593,False,False
A-249769,Company_214,Enterprise,14727.0,176724.0,0.3848912204043511,5668.293002894879,Medium,Customer satisfaction outreach,3.0,1.0,0.0,556,False,False
