payment_id,account_id,amount,payment_status,failure_reason,attempt_number,churn_probability
P-00039,A-eb7c38,29666.0,successful,,1,0.4745
P-00040,A-3b5cd1,10542.0,successful,,1,0.1268
P-00041,A-b2225d,15745.0,successful,,1,0.4232
P-00042,A-94f8c9,12391.0,successful,,1,0.3489
P-00043,A-02fac6,20954.0,failed,insufficient_funds,1,0.1169
P-00044,A-c1dfe1,25296.0,failed,card_declined,1,0.2135
P-00045,A-32728c,4118.0,successful,,1,0.1123
P-00046,A-4c38bc,29520.0,failed,bank_error,1,0.391
P-00047,A-1b707d,7945.0,successful,,1,0.126
P-00048,A-6f8ad2,20619.0,failed,card_declined,1,0.4552
P-00049,A-4d1e75,13698.0,failed,bank_error,1,0.349
P-00050,A-9ee962,9249.0,failed,network_error,1,0.1382
P-00051,A-378b99,2223.0,successful,,1,0.5944
P-00052,A-94d3da,19885.0,successful,,1,0.1005
P-00053,A-e351e1,627.0,failed,bank_error,1,0.446
P-00054,A-9badbd,13796.0,successful,,1,0.4485
P-00055,A-7e0a10,27186.0,successful,,1,0.2774
P-00056,A-526d93,29827.0,successful,,1,0.185
P-00057,A-f92792,17262.0,failed,card_declined,1,0.4637
P-00058,A-84ebe4,20830.0,failed,network_error,1,0.0503
P-00059,A-5b4ebb,2337.0,successful,,1,0.4483
P-00060,A-9b9fe9,3690.0,successful,,1,0.1972
P-00061,A-a8b49c,6846.0,failed,card_declined,1,0.194
P-00062,A-a1bbb6,14157.0,successful,,1,0.0685
P-00063,A-c45b23,2854.0,successful,,1,0.4179
P-00064,A-02cd81,28644.0,successful,,1,0.3279
P-00065,A-ee42db,10997.0,successful,,1,0.2853
P-00066,A-432483,23412.0,successful,,1,0.0485
P-00067,A-9208f0,3413.0,failed,bank_error,1,0.2106
P-00068,A-98a59a,33712.0,successful,,1,0.2449
P-00069,A-fe79a5,8159.0,successful,,1,0.1882
P-00070,A-726cfa,20785.0,successful,,1,0.4016
P-00071,A-271f46,9728.0,successful,,1,0.0733
P-00072,A-157070,18700.0,successful,,1,0.2658
P-00073,A-40a557,15388.0,successful,,1,0.1564
P-00074,A-91e948,13735.0,failed,insufficient_funds,1,0.0279
P-00075,A-104f1a,7987.0,failed,expired_card,1,0.3949
P-00076,A-7988d1,10692.0,successful,,1,0.0915
P-00077,A-faa28c,46500.0,successful,,1,0.166
P-00078,A-f25509,12736.0,successful,,1,0.2829
P-00079,A-3a5ad8,11216.0,failed,card_declined,1,0.3429
P-00080,A-65a46c,20960.0,successful,,1,0.1918
P-00081,A-8b25f2,8957.0,failed,insufficient_funds,1,0.2873
P-00082,A-adc1f3,2786.0,successful,,1,0.3129
P-00083,A-503d5a,5754.0,failed,network_error,1,0.5803
P-00084,A-186a44,7276.0,successful,,1,0.6052
P-00085,A-e888d1,5162.0,successful,,1,0.1632
P-00086,A-69fad4,3678.0,successful,,1,0.1688
P-00087,A-9289f6,11347.0,successful,,1,0.2111
P-00088,A-f19409,27767.0,successful,,1,0.0815
P-00089,A-2e3bad,40565.0,successful,,1,0.1562
P-00090,A-484819,11506.0,successful,,1,0.1017
P-00091,A-425e76,10743.0,successful,,1,0.4112
P-00092,A-e83938,5084.0,successful,,1,0.2581
P-00093,A-ad296b,15846.0,successful,,1,0.2519
P-00094,A-e51ec7,5569.0,failed,insufficient_funds,1,0.4252
P-00095,A-0aaf6e,2269.0,failed,bank_error,1,0.6113
P-00096,A-e61e98,13484.0,successful,,1,0.3657
P-00097,A-92a333,10659.0,failed,card_declined,1,0.1662
P-00098,A-95b24a,25034.0,successful,,1,0.194
P-00099,A-42e5e1,68.0,failed,insufficient_funds,1,0.604
P-00100,A-7d514c,19862.0,successful,,1,0.2839
P-00101,A-65aeb5,32430.0,successful,,1,0.2612
P-00102,A-e2cd1b,6761.0,failed,card_declined,1,0.5187
P-00103,A-180abf,17088.0,successful,,1,0.2227
P-00104,A-f17767,14179.0,successful,,1,0.219
P-00105,A-5a184f,19980.0,successful,,1,0.3257
P-00106,A-7df7a7,18475.0,successful,,1,0.167
P-00107,A-52dd88,14590.0,successful,,1,0.0785
P-00108,A-bece89,17388.0,successful,,1,0.1231
P-00109,A-029f69,10955.0,successful,,1,0.3484
P-00110,A-5c046d,24831.0,successful,,1,0.1965
P-00111,A-ae052e,3822.0,failed,expired_card,1,0.2208
P-00112,A-9f9299,25452.0,successful,,1,0.2176
P-00113,A-96e141,15183.0,failed,insufficient_funds,1,0.1869
P-00114,A-117171,0.0,successful,,1,0.3343
P-00115,A-313be3,16703.0,successful,,1,0.1997
P-00116,A-bbc346,9492.0,failed,card_declined,1,0.744
P-00117,A-c16101,4826.0,successful,,1,0.5175
P-00118,A-50f3f7,17178.0,failed,expired_card,1,0.3365
P-00119,A-7da956,4164.0,successful,,1,0.2894
P-00120,A-019782,5169.0,successful,,1,0.2126
P-00121,A-df10db,9342.0,successful,,1,0.2772
P-00122,A-3932db,5358.0,successful,,1,0.3363
P-00123,A-4f18f0,12835.0,successful,,1,0.5483
P-00124,A-4c6f11,7586.0,successful,,1,0.1676
P-00125,A-8ae05d,4902.0,successful,,1,0.3915
P-00126,A-eafc6e,16229.0,failed,bank_error,1,0.1134
P-00127,A-37f969,22959.0,successful,,1,0.3542
P-00128,A-10b8f2,28367.0,successful,,1,0.0295
P-00129,A-439b2f,522.0,failed,expired_card,1,0.3359
P-00130,A-544d0a,17762.0,successful,,1,0.1672
P-00131,A-ba6516,21170.0,failed,card_declined,1,0.422
P-00132,A-038089,2009.0,failed,expired_card,1,0.3314
P-00133,A-afa505,52080.0,successful,,1,0.1001
P-00134,A-d5a319,25907.0,successful,,1,0.1534
P-00135,A-f97b9a,20403.0,successful,,1,0.1923
P-00136,A-2f6a32,361.0,successful,,1,0.5024
P-00137,A-856b1e,6321.0,failed,card_declined,1,0.124
P-00138,A-d27f50,13923.0,failed,network_error,1,0.6207
P-00139,A-e36807,4933.0,successful,,1,0.2403
P-00140,A-ff79f2,5295.0,successful,,1,0.269
P-00141,A-5b1bcd,111617.0,successful,,1,0.0369
P-00142,A-71615e,26067.0,successful,,1,0.133
P-00143,A-794a0b,10575.0,successful,,1,0.0505
P-00144,A-86902e,28629.0,successful,,1,0.4827
P-00145,A-0532a9,361.0,failed,insufficient_funds,1,0.7742
P-00146,A-9779ad,35760.0,successful,,1,0.0546
P-00147,A-f45426,4899.0,successful,,1,0.4885
P-00148,A-fa3095,61810.0,successful,,1,0.0394
P-00149,A-ad64c6,9136.0,successful,,1,0.2423
P-00150,A-39b19f,11655.0,successful,,1,0.3175
P-00151,A-56962b,22168.0,successful,,1,0.3798
P-00152,A-e60f9d,1421.0,successful,,1,0.488
P-00153,A-158f4e,27572.0,successful,,1,0.2045
P-00154,A-5b051a,418.0,successful,,1,0.2977
P-00155,A-296d7c,1297.0,successful,,1,0.4667
P-00156,A-1619f8,11496.0,failed,insufficient_funds,1,0.2843
P-00157,A-a1b80b,34589.0,successful,,1,0.2003
P-00158,A-702032,5572.0,successful,,1,0.2758
P-00159,A-7a0d69,1330.0,failed,insufficient_funds,1,0.5172
P-00160,A-22d9d2,6252.0,successful,,1,0.5526
P-00161,A-b9eed8,5547.0,failed,insufficient_funds,1,0.3247
P-00162,A-dfbd31,7134.0,successful,,1,0.676
P-00163,A-8e47ca,23145.0,successful,,1,0.2609
P-00164,A-4437e4,15869.0,successful,,1,0.3602
P-00165,A-779e4e,27150.0,successful,,1,0.059
P-00166,A-53f4e3,5329.0,successful,,1,0.5484
P-00167,A-692f18,22798.0,successful,,1,0.2187
P-00168,A-13466a,8927.0,successful,,1,0.0532
P-00169,A-1986ca,27661.0,successful,,1,0.1899
P-00170,A-0cc442,31517.0,successful,,1,0.3549
P-00171,A-c608c8,6296.0,successful,,1,0.2805
P-00172,A-3be56b,14945.0,successful,,1,0.4725
P-00173,A-354f12,6965.0,successful,,1,0.2033
P-00174,A-68f37c,30678.0,failed,card_declined,1,0.1285
P-00175,A-aa9511,38842.0,successful,,1,0.118
P-00176,A-af0cd2,5377.0,successful,,1,0.197
P-00177,A-c222ab,9504.0,successful,,1,0.245
P-00178,A-34d880,18394.0,successful,,1,0.3376
P-00179,A-508199,8436.0,successful,,1,0.1099
P-00180,A-f03140,15702.0,successful,,1,0.5048
P-00181,A-fa2041,10766.0,successful,,1,0.2995
P-00182,A-de58ca,23170.0,successful,,1,0.2021
P-00183,A-05d3b3,8373.0,successful,,1,0.1329
P-00184,A-249769,14727.0,successful,,1,0.3849
P-00185,A-e43bf7,37910.0,successful,,1,0.0267
P-00186,A-eb2fdc,20555.0,successful,,1,0.2814
P-00187,A-e1462e,11745.0,successful,,1,0.1492
P-00188,A-cab532,14243.0,failed,expired_card,1,0.2658
P-00189,A-9123ac,9179.0,successful,,1,0.1276
P-00190,A-6e08f3,12371.0,successful,,1,0.0607
P-00191,A-d922bf,15323.0,successful,,1,0.1503
P-00192,A-8ed5dd,11426.0,successful,,1,0.322
P-00193,A-3c1a3f,7773.0,successful,,1,0.4504
P-00194,A-b2af2e,1091.0,failed,network_error,1,0.4118
P-00195,A-9bfc9f,12745.0,successful,,1,0.4224
P-00196,A-4ae22a,7592.0,successful,,1,0.3235
P-00197,A-fda07f,7769.0,successful,,1,0.4544
P-00198,A-977ca0,29255.0,successful,,1,0.1569
P-00199,A-ab438f,0.0,failed,card_declined,1,0.5352
P-00200,A-e89151,9867.0,successful,,1,0.1796
P-00201,A-40906c,30820.0,successful,,1,0.1687
P-00202,A-81edc3,14926.0,failed,expired_card,1,0.257
P-00203,A-328bd0,12844.0,successful,,1,0.2957
P-00204,A-b3fe05,13333.0,successful,,1,0.3968
P-00205,A-09540c,17152.0,successful,,1,0.0553
P-00206,A-e693b6,19470.0,failed,expired_card,1,0.2021
P-00207,A-2446e3,13392.0,successful,,1,0.3315
P-00208,A-241e75,3499.0,failed,card_declined,1,0.4751
P-00209,A-922109,12516.0,successful,,1,0.4625
P-00210,A-ff3c73,3936.0,successful,,1,0.1105
P-00211,A-8b0451,779.0,successful,,1,0.8295
P-00212,A-331424,6567.0,successful,,1,0.094
P-00213,A-51ec1b,5184.0,successful,,1,0.3469
P-00214,A-bcf664,7644.0,successful,,1,0.2269
P-00215,A-90a8c8,21667.0,successful,,1,0.3296
P-00216,A-86cdb4,0.0,successful,,1,0.4179
P-00217,A-dbc825,26595.0,successful,,1,0.427
P-00218,A-7c4956,2801.0,successful,,1,0.2594
P-00219,A-3ce5b8,16650.0,successful,,1,0.3025
P-00220,A-bd4708,17242.0,successful,,1,0.3708
P-00221,A-993085,40098.0,successful,,1,0.0903
P-00222,A-92a3af,21350.0,successful,,1,0.6568
P-00223,A-151c9a,14250.0,successful,,1,0.1693
P-00224,A-474ad4,5757.0,successful,,1,0.1705
P-00225,A-4ef964,12584.0,successful,,1,0.2753
P-00226,A-fd9422,12644.0,successful,,1,0.2664
P-00227,A-0baac2,0.0,successful,,1,0.4409
P-00228,A-560d27,31176.0,failed,expired_card,1,0.3539
P-00229,A-2789e3,627.0,failed,card_declined,1,0.6848
P-00230,A-902ef7,20584.0,successful,,1,0.5024
P-00231,A-20736a,14850.0,failed,expired_card,1,0.3709
P-00232,A-cea1f0,1437.0,failed,insufficient_funds,1,0.5084
P-00233,A-ef84cf,7355.0,successful,,1,0.3732
P-00234,A-d49cc5,8700.0,successful,,1,0.0735
P-00235,A-67be94,13293.0,failed,card_declined,1,0.0813
P-00236,A-4e960a,23126.0,successful,,1,0.3532
P-00237,A-c37cab,7336.0,failed,expired_card,1,0.6064
P-00238,A-443b7c,14859.0,failed,insufficient_funds,1,0.654
P-00239,A-1f7acb,46912.0,successful,,1,0.1222
P-00240,A-f51f16,13261.0,successful,,1,0.4187
P-00241,A-5a3eb9,15430.0,successful,,1,0.4698
P-00242,A-417d2f,13969.0,successful,,1,0.2373
P-00243,A-e98302,9421.0,successful,,1,0.2493
P-00244,A-bcf87c,3313.0,successful,,1,0.3955
P-00245,A-54ecc2,9601.0,successful,,1,0.3066
P-00246,A-625d0b,0.0,successful,,1,0.4056
P-00247,A-fce879,627.0,failed,card_declined,1,0.3885
P-00248,A-6da850,11559.0,failed,insufficient_funds,1,0.5342
P-00249,A-342303,1695.0,successful,,1,0.1216
P-00250,A-e7a1e2,5174.0,successful,,1,0.4761
P-00251,A-f1f639,2919.0,successful,,1,0.0423
P-00252,A-a865bd,21022.0,successful,,1,0.0483
P-00253,A-4e631b,13174.0,failed,insufficient_funds,1,0.4035
P-00254,A-7f6b86,16342.0,successful,,1,0.1172
P-00255,A-8adedc,16985.0,successful,,1,0.1173
P-00256,A-2edab2,6851.0,successful,,1,0.4252
P-00257,A-a6d261,37944.0,successful,,1,0.165
P-00258,A-202b67,12397.0,successful,,1,0.2707
P-00259,A-00bed1,33506.0,successful,,1,0.0625
P-00260,A-ffc04f,12630.0,successful,,1,0.6232
P-00261,A-65c341,18088.0,successful,,1,0.2109
P-00262,A-dcc2f0,12462.0,successful,,1,0.28
P-00263,A-3d957b,9066.0,successful,,1,0.3942
P-00264,A-883b7d,28515.0,successful,,1,0.2636
P-00265,A-dcc3f1,7770.0,successful,,1,0.4459
P-00266,A-c62e55,9746.0,successful,,1,0.0315
P-00267,A-e40f45,11426.0,failed,insufficient_funds,1,0.3658
P-00268,A-96215d,8793.0,failed,insufficient_funds,1,0.4323
P-00269,A-2b9d3e,2637.0,successful,,1,0.1749
P-00270,A-b7724f,1322.0,successful,,1,0.1462
P-00271,A-eb1312,1225.0,successful,,1,0.5416
P-00272,A-df1e44,9267.0,failed,card_declined,1,0.3632
P-00273,A-a8d89d,23425.0,successful,,1,0.1547
P-00274,A-600734,13526.0,failed,card_declined,1,0.3286
P-00275,A-86fc1d,8316.0,successful,,1,0.4616
P-00276,A-acb7f7,31358.0,successful,,1,0.1181
P-00277,A-712f1c,30587.0,successful,,1,0.2496
P-00278,A-3793ee,16954.0,failed,card_declined,1,0.0984
P-00279,A-9a532a,8756.0,successful,,1,0.3761
P-00280,A-2ebb4b,26670.0,successful,,1,0.0846
P-00281,A-c9bb3e,9730.0,successful,,1,0.3371
P-00282,A-4814a3,4263.0,successful,,1,0.4785
P-00283,A-b7b7b7,17416.0,failed,insufficient_funds,1,0.2315
P-00284,A-ccc747,3381.0,successful,,1,0.2033
P-00285,A-bb3bd4,7015.0,failed,expired_card,1,0.3066
P-00286,A-09316c,29190.0,successful,,1,0.3355
P-00287,A-96bbc6,16630.0,successful,,1,0.2928
P-00288,A-bc4d48,4760.0,successful,,1,0.2775
P-00289,A-b30291,5130.0,successful,,1,0.164
P-00290,A-cdf020,7615.0,successful,,1,0.166
P-00291,A-e6afc1,22582.0,successful,,1,0.1349
P-00292,A-e3bd71,27773.0,successful,,1,0.0851
P-00293,A-098560,10770.0,successful,,1,0.4527
P-00294,A-82861f,24527.0,successful,,1,0.33
P-00295,A-94c3cd,2668.0,successful,,1,0.337
P-00296,A-a33200,7192.0,failed,insufficient_funds,1,0.4302
P-00297,A-034368,494.0,failed,insufficient_funds,1,0.2323
P-00298,A-b54c01,0.0,failed,expired_card,1,0.6276
P-00299,A-d82ef9,11571.0,failed,card_declined,1,0.5438
P-00300,A-bb2f49,18301.0,successful,,1,0.199
P-00301,A-1f559b,10160.0,failed,bank_error,1,0.2432
P-00302,A-5a215a,114057.0,successful,,1,0.0494
P-00303,A-3f9cc0,19940.0,failed,expired_card,1,0.2648
P-00304,A-ed510f,33306.0,successful,,1,0.0847
P-00305,A-a7bd4b,6268.0,successful,,1,0.2382
P-00306,A-d4ac0e,9173.0,successful,,1,0.5844
P-00307,A-ffdfd5,6016.0,successful,,1,0.1417
P-00308,A-0dbdc6,14030.0,successful,,1,0.1001
P-00309,A-7cfe77,8073.0,failed,bank_error,1,0.5591
P-00310,A-1f0636,71820.0,successful,,1,0.062
P-00311,A-40de06,22758.0,successful,,1,0.2047
P-00312,A-cb5333,22395.0,failed,card_declined,1,0.6576
P-00313,A-6e7827,5061.0,successful,,1,0.1043
P-00314,A-50bb9f,7403.0,successful,,1,0.3295
P-00315,A-5247b3,9259.0,successful,,1,0.5241
P-00316,A-f44180,11077.0,successful,,1,0.0932
P-00317,A-d42431,11321.0,successful,,1,0.5203
P-00318,A-0a62f5,3184.0,successful,,1,0.4987
P-00319,A-f5641b,13857.0,successful,,1,0.4045
P-00320,A-b44e3e,35561.0,failed,network_error,1,0.118
P-00321,A-3b37d9,14858.0,successful,,1,0.1265
P-00322,A-54d94a,8075.0,successful,,1,0.2059
P-00323,A-7f29a7,779.0,successful,,1,0.3711
P-00324,A-089363,7164.0,successful,,1,0.1045
P-00325,A-855a48,30376.0,successful,,1,0.1946
P-00326,A-756192,18740.0,failed,network_error,1,0.1929
P-00327,A-49b828,26391.0,failed,card_declined,1,0.2266
P-00328,A-c7ffc2,29211.0,successful,,1,0.0586
P-00329,A-751c58,10869.0,successful,,1,0.4401
P-00330,A-72799b,14326.0,successful,,1,0.3392
P-00331,A-812c5b,10110.0,successful,,1,0.4877
P-00332,A-69b156,12139.0,successful,,1,0.2518
P-00333,A-075038,18111.0,successful,,1,0.2402
P-00334,A-940b8b,9640.0,successful,,1,0.2503
P-00335,A-2d1036,46230.0,successful,,1,0.3582
P-00336,A-9affe6,9167.0,successful,,1,0.126
P-00337,A-80eeb6,56928.0,successful,,1,0.1565
P-00338,A-c7e58b,5384.0,successful,,1,0.3025
P-00339,A-016043,4341.0,failed,card_declined,1,0.196
P-00340,A-bbe56f,5607.0,failed,card_declined,1,0.1302
P-00341,A-7c5768,2382.0,successful,,1,0.5195
P-00342,A-751bd4,190.0,successful,,1,0.3419
P-00343,A-4e0e85,4544.0,successful,,1,0.1594
P-00344,A-ad3abd,11748.0,failed,insufficient_funds,1,0.079
P-00345,A-e19ff6,1676.0,successful,,1,0.3216
P-00346,A-7920cc,34536.0,successful,,1,0.1578
P-00347,A-5a92e7,8744.0,failed,insufficient_funds,1,0.7224
P-00348,A-fdfc91,20612.0,successful,,1,0.0843
P-00349,A-1e50e0,13295.0,failed,bank_error,1,0.0257
P-00350,A-1e1b80,47697.0,successful,,1,0.3136
P-00351,A-659280,21127.0,failed,insufficient_funds,1,0.3127
P-00352,A-f6b2fb,21795.0,successful,,1,0.2968
P-00353,A-cb6cc6,1397.0,successful,,1,0.0579
P-00354,A-d62e02,1990.0,successful,,1,0.3837
P-00355,A-d535f6,2616.0,successful,,1,0.2445
P-00356,A-39868b,3753.0,successful,,1,0.317
P-00357,A-3cc791,6758.0,successful,,1,0.3573
P-00358,A-337bc1,19379.0,successful,,1,0.0577
P-00359,A-58b9ff,20379.0,failed,insufficient_funds,1,0.7171
P-00360,A-1d5444,29782.0,successful,,1,0.1031
P-00361,A-0f3e88,4749.0,successful,,1,0.1359
P-00362,A-7641d3,11086.0,successful,,1,0.0795
P-00363,A-cd458b,16100.0,successful,,1,0.4145
P-00364,A-c16b88,10082.0,failed,card_declined,1,0.4026
P-00365,A-59f724,9431.0,failed,card_declined,1,0.3742
P-00366,A-87aa7b,13518.0,failed,insufficient_funds,1,0.4152
P-00367,A-1e6fc3,245.0,failed,expired_card,1,0.2346
P-00368,A-34ea2f,1671.0,successful,,1,0.7292
P-00369,A-716841,7469.0,successful,,1,0.3901
P-00370,A-558c72,6048.0,successful,,1,0.0586
P-00371,A-b11cd0,4312.0,successful,,1,0.0626
P-00372,A-7f4db3,17722.0,successful,,1,0.2623
P-00373,A-cc102e,3718.0,successful,,1,0.4918
P-00374,A-dec005,19599.0,successful,,1,0.2218
P-00375,A-7c83a1,14511.0,successful,,1,0.394
P-00376,A-297a2d,9000.0,failed,network_error,1,0.1649
P-00377,A-4c56c9,20783.0,failed,network_error,1,0.4049
P-00378,A-cbbe12,4361.0,successful,,1,0.1836
P-00379,A-4a267b,13671.0,successful,,1,0.3787
P-00380,A-bcbe98,6256.0,failed,expired_card,1,0.7318
P-00381,A-427b69,6056.0,successful,,1,0.5372
P-00382,A-054577,23577.0,successful,,1,0.4562
P-00383,A-bc87bc,342.0,successful,,1,0.4738
P-00384,A-e7beab,4982.0,successful,,1,0.2893
P-00385,A-a09355,6971.0,successful,,1,0.523
P-00386,A-31ab9a,4459.0,successful,,1,0.3599
P-00387,A-0158bb,836.0,successful,,1,0.3058
P-00388,A-f19b24,1972.0,successful,,1,0.019
P-00389,A-798a3f,10976.0,failed,insufficient_funds,1,0.3134
P-00390,A-42b791,1421.0,successful,,1,0.2748
P-00391,A-068fc6,19740.0,successful,,1,0.1971
P-00392,A-6f50ae,19046.0,successful,,1,0.3399
P-00393,A-a2485e,4370.0,successful,,1,0.2657
P-00394,A-bb1eaa,9156.0,successful,,1,0.1787
P-00395,A-cc98bc,19999.0,successful,,1,0.1055
P-00396,A-d77f4c,42455.0,successful,,1,0.1579
P-00397,A-ccabf0,22379.0,successful,,1,0.3987
P-00398,A-4a4c2d,29268.0,successful,,1,0.2428
P-00399,A-b7ef83,16186.0,failed,network_error,1,0.4017
P-00400,A-e08cd3,3283.0,successful,,1,0.5132
P-00401,A-19b2c8,22723.0,successful,,1,0.2412
P-00402,A-970c97,11830.0,successful,,1,0.4284
P-00403,A-6dee43,22770.0,successful,,1,0.1146
P-00404,A-5ed98d,11904.0,successful,,1,0.2403
P-00405,A-c58f49,15260.0,successful,,1,0.2396
P-00406,A-9c18c4,11853.0,failed,network_error,1,0.2069
P-00407,A-cc8c8f,6009.0,successful,,1,0.4774
P-00408,A-5f7781,4796.0,successful,,1,0.3627
P-00409,A-e1b9cd,24402.0,successful,,1,0.2646
P-00410,A-ac85cd,4611.0,successful,,1,0.6239
P-00411,A-d792a6,10019.0,successful,,1,0.2997
P-00412,A-ac9111,14483.0,successful,,1,0.2601
P-00413,A-9f0b68,15629.0,successful,,1,0.3368
P-00414,A-ccb686,17921.0,failed,insufficient_funds,1,0.3002
P-00415,A-0e966d,5632.0,successful,,1,0.4001
P-00416,A-b9f5b1,4087.0,successful,,1,0.0659
P-00417,A-8ae3fc,3896.0,successful,,1,0.5695
P-00418,A-55f257,12137.0,failed,expired_card,1,0.1445
P-00419,A-712533,9268.0,successful,,1,0.1587
P-00420,A-781cc0,10426.0,successful,,1,0.551
